fighter,event,event_date,fighter_1,weight_class,fighter_2,fight_format,number_of_rounds,length_of_fight,fighter_1_outcome,fighter_2_outcome,fight_outcome_method,fighter_1_tot_kd,fighter_1_tot_sig.str,fighter_1_tot_sig.str%,fighter_1_tot_ss_head,fighter_1_tot_ss_bod,fighter_1_tot_ss_leg,fighter_1_tot_ss_dist,fighter_1_tot_ss_clinch,fighter_1_tot_ss_grnd,fighter_2_tot_kd,fighter_2_tot_sig.str,fighter_2_tot_sig.str%,fighter_2_tot_ss_head,fighter_2_tot_ss_bod,fighter_2_tot_ss_leg,fighter_2_tot_ss_dist,fighter_2_tot_ss_clinch,fighter_2_tot_ss_grnd
Carlos Newton,UFC 40: Vendetta,"Nov. 22, 2002",Carlos Newton,Welterweight Bout,Pete Spratt,3 Rnd (5-5-5),1,1:45,W,L,Submission,0,0 of 0,---,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0,1 of 2,50%,0 of 1,0 of 0,1 of 1,1 of 2,0 of 0,0 of 0
Francis Ngannou,UFC Fight Night: Lewis vs. Abdurakhimov,"Dec. 09, 2016",Francis Ngannou,Heavyweight Bout,Anthony Hamilton,3 Rnd (5-5-5),1,1:57,W,L,Submission,0,1 of 1,100%,0 of 0,0 of 0,1 of 1,1 of 1,0 of 0,0 of 0,0,0 of 3,0%,0 of 1,0 of 1,0 of 1,0 of 1,0 of 2,0 of 0
Carlos Newton,UFC 46: Supernatural,"Jan. 31, 2004",Renato Verissimo,Welterweight Bout,Carlos Newton,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,22 of 36,61%,8 of 15,1 of 1,0 of 0,0 of 2,0 of 0,9 of 14,0,4 of 9,44%,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
Journey Newson,UFC 274: Oliveira vs. Gaethje,"May. 07, 2022",Journey Newson,Bantamweight Bout,Fernie Garcia,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,57 of 143,39%,2 of 30,2 of 5,3 of 6,7 of 41,0 of 0,0 of 0,0,37 of 103,35%,10 of 25,0 of 1,1 of 1,11 of 27,0 of 0,0 of 0
Francis Ngannou,UFC Fight Night: Rothwell vs Dos Santos,"Apr. 10, 2016",Francis Ngannou,Heavyweight Bout,Curtis Blaydes,3 Rnd (5-5-5),2,5:00,W,L,TKO - Doctor's Stoppage,0,36 of 84,42%,12 of 32,2 of 2,1 of 1,11 of 31,4 of 4,0 of 0,0,24 of 58,41%,7 of 17,1 of 1,5 of 7,12 of 24,1 of 1,0 of 0
Francis Ngannou,UFC on FOX: Shevchenko vs. Pena,"Jan. 28, 2017",Andrei Arlovski,Heavyweight Bout,Francis Ngannou,3 Rnd (5-5-5),1,1:32,L,W,KO/TKO,0,3 of 9,33%,1 of 5,0 of 1,2 of 3,3 of 9,0 of 0,0 of 0,1,8 of 13,61%,8 of 13,0 of 0,0 of 0,4 of 9,0 of 0,4 of 4
Carlos Newton,PRIDE Bushido 3,"May. 23, 2004",Daiju Takase,Middleweight Bout,Carlos Newton,2 Rnd (10-5),2,5:00,W,L,Decision - Split,0,5 of 10,50%,0 of 1,0 of 0,0 of 0,0 of 1,0 of 0,0 of 0,0,12 of 27,44%,3 of 7,3 of 3,1 of 1,0 of 2,2 of 3,5 of 6
Francis Ngannou,UFC Fight Night: Ngannou vs. Velasquez,"Feb. 17, 2019",Francis Ngannou,Heavyweight Bout,Cain Velasquez,5 Rnd (5-5-5-5-5),1,0:26,W,L,KO/TKO,0,6 of 10,60%,6 of 10,0 of 0,0 of 0,3 of 6,1 of 1,2 of 3,0,1 of 3,33%,0 of 1,1 of 1,0 of 1,1 of 3,0 of 0,0 of 0
Francis Ngannou,UFC Fight Night: Blaydes vs. Ngannou 2,"Nov. 24, 2018",Curtis Blaydes,Heavyweight Bout,Francis Ngannou,5 Rnd (5-5-5-5-5),1,0:45,L,W,KO/TKO,0,1 of 8,12%,1 of 7,0 of 0,0 of 1,1 of 8,0 of 0,0 of 0,1,13 of 17,76%,11 of 15,1 of 1,1 of 1,3 of 6,5 of 5,5 of 6
Francis Ngannou,UFC Fight Night: Ngannou vs. Dos Santos,"Jun. 29, 2019",Francis Ngannou,Heavyweight Bout,Junior Dos Santos,5 Rnd (5-5-5-5-5),1,1:11,W,L,KO/TKO,1,9 of 19,47%,5 of 14,1 of 1,3 of 4,5 of 12,0 of 0,4 of 7,0,4 of 6,66%,1 of 3,1 of 1,2 of 2,4 of 6,0 of 0,0 of 0
Francis Ngannou,UFC 249: Ferguson vs. Gaethje,"May. 09, 2020",Francis Ngannou,Heavyweight Bout,Jairzinho Rozenstruik,3 Rnd (5-5-5),1,0:20,W,L,KO/TKO,1,6 of 13,46%,5 of 11,1 of 2,0 of 0,3 of 9,0 of 0,3 of 4,0,5 of 5,100%,3 of 3,0 of 0,2 of 2,5 of 5,0 of 0,0 of 0
Ben Nguyen,UFC Fight Night: McDonald vs. Lineker,"Jul. 13, 2016",Louis Smolka,Flyweight Bout,Ben Nguyen,3 Rnd (5-5-5),2,4:41,W,L,KO/TKO,0,82 of 113,72%,39 of 57,4 of 4,0 of 0,1 of 1,0 of 0,42 of 60,0,4 of 8,50%,2 of 6,1 of 1,0 of 0,1 of 5,1 of 1,1 of 1
Ben Nguyen,UFC 221: Romero vs. Rockhold,"Feb. 10, 2018",Jussier Formiga,Flyweight Bout,Ben Nguyen,3 Rnd (5-5-5),3,1:43,W,L,Submission,1,27 of 49,55%,5 of 9,0 of 0,0 of 0,1 of 2,1 of 4,3 of 3,0,21 of 65,32%,4 of 13,6 of 7,1 of 2,2 of 12,9 of 10,0 of 0
Francis Ngannou,UFC 270: Ngannou vs. Gane,,Francis Ngannou,UFC Heavyweight Title Bout,Ciryl Gane,5 Rnd (5-5-5-5-5),5,5:00,W,L,Decision - Unanimous,0,43 of 104,41%,3 of 18,8 of 11,1 of 2,8 of 24,4 of 7,0 of 0,0,63 of 91,69%,4 of 7,9 of 11,2 of 2,10 of 14,5 of 6,0 of 0
Ben Nguyen,UFC Fight Night: Lewis vs. Hunt,"Jun. 10, 2017",Tim Elliott,Flyweight Bout,Ben Nguyen,3 Rnd (5-5-5),1,0:49,L,W,Submission,0,1 of 4,25%,0 of 2,0 of 0,1 of 2,1 of 4,0 of 0,0 of 0,0,3 of 7,42%,3 of 7,0 of 0,0 of 0,2 of 6,1 of 1,0 of 0
Ben Nguyen,UFC Fight Night: Dos Santos vs. Tuivasa,"Dec. 01, 2018",Wilson Reis,Flyweight Bout,Ben Nguyen,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,32 of 115,27%,3 of 15,1 of 2,1 of 1,3 of 14,2 of 4,0 of 0,0,39 of 111,35%,8 of 16,3 of 5,1 of 2,10 of 21,2 of 2,0 of 0
Ben Nguyen,UFC Fight Night: Whittaker vs. Brunson,"Nov. 26, 2016",Ben Nguyen,Flyweight Bout,Geane Herrera,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,1,105 of 255,41%,25 of 62,8 of 11,6 of 6,30 of 69,9 of 9,0 of 1,0,22 of 107,20%,4 of 34,3 of 3,0 of 0,7 of 34,0 of 3,0 of 0
Steven Nguyen,DWCS 7.6,"Sep. 12, 2023",Steven Nguyen,Featherweight Bout,AJ Cunningham,3 Rnd (5-5-5),2,4:06,W,L,KO/TKO,1,103 of 228,45%,46 of 106,2 of 3,4 of 7,50 of 113,0 of 0,2 of 3,0,69 of 285,24%,22 of 118,15 of 26,3 of 7,39 of 147,1 of 4,0 of 0
Alex Nicholson,UFC Fight Night: Hendricks vs Thompson,"Feb. 06, 2016",Misha Cirkunov,Light Heavyweight Bout,Alex Nicholson,3 Rnd (5-5-5),2,1:28,W,L,Submission,0,32 of 63,50%,20 of 40,6 of 9,2 of 3,15 of 31,12 of 20,1 of 1,0,16 of 51,31%,6 of 31,1 of 4,5 of 7,11 of 38,1 of 4,0 of 0
Alex Nicholson,UFC Fight Night: Gustafsson vs. Teixeira,"May. 28, 2017",Jack Hermansson,Middleweight Bout,Alex Nicholson,3 Rnd (5-5-5),1,2:00,W,L,KO/TKO,0,23 of 29,79%,23 of 29,0 of 0,0 of 0,1 of 2,0 of 0,22 of 27,0,1 of 4,25%,0 of 2,1 of 2,0 of 0,1 of 4,0 of 0,0 of 0
Alex Nicholson,UFC Fight Night: McDonald vs. Lineker,"Jul. 13, 2016",Devin Clark,Middleweight Bout,Alex Nicholson,3 Rnd (5-5-5),1,4:57,L,W,KO/TKO,1,14 of 20,70%,7 of 13,7 of 7,0 of 0,8 of 12,3 of 4,3 of 4,1,18 of 31,58%,6 of 18,5 of 5,7 of 8,12 of 24,3 of 4,3 of 3
Steven Nguyen,UFC Fight Night: Ribas vs. Namajunas,"Mar. 23, 2024",Jarno Errens,Featherweight Bout,Steven Nguyen,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,1,105 of 207,50%,15 of 43,13 of 17,11 of 11,39 of 69,0 of 2,0 of 0,0,63 of 226,27%,13 of 45,4 of 6,4 of 12,21 of 61,0 of 0,0 of 2
Alex Nicholson,UFC Fight Night: Dos Anjos vs. Ferguson,"Nov. 05, 2016",Sam Alvey,Middleweight Bout,Alex Nicholson,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,63 of 138,45%,4 of 24,7 of 8,3 of 3,14 of 35,0 of 0,0 of 0,0,82 of 182,45%,13 of 41,6 of 14,8 of 8,27 of 63,0 of 0,0 of 0
Shane Nelson,UFC 101: Declaration,"Aug. 08, 2009",Aaron Riley,Lightweight Bout,Shane Nelson,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,50 of 122,40%,7 of 24,11 of 13,2 of 2,5 of 19,15 of 20,0 of 0,0,28 of 74,37%,5 of 19,8 of 8,1 of 1,6 of 20,8 of 8,0 of 0
Steve Nelmark,UFC 9: Motor City Madness,"May. 17, 1996",Steve Nelmark,Open Weight Bout,Tai Bowden,1 Rnd + OT (12-3),1,7:25,W,L,TKO - Doctor's Stoppage,0,13 of 16,81%,12 of 15,1 of 1,0 of 0,1 of 2,1 of 1,11 of 13,0,4 of 4,100%,2 of 2,0 of 0,2 of 2,2 of 2,2 of 2,0 of 0
Shane Nelson,UFC 96: Jackson vs Jardine,"Mar. 07, 2009",Shane Nelson,Lightweight Bout,Aaron Riley,3 Rnd (5-5-5),1,0:44,W,L,KO/TKO,1,5 of 12,41%,4 of 10,1 of 1,0 of 1,2 of 6,0 of 1,3 of 5,0,4 of 9,44%,0 of 5,1 of 1,3 of 3,4 of 9,0 of 0,0 of 0
Shane Nelson,The Ultimate Fighter: Team Nogueira vs. Team Mir Finale,"Dec. 13, 2008",Shane Nelson,Lightweight Bout,George Roop,3 Rnd (5-5-5),3,5:00,W,L,Decision - Split,0,10 of 32,31%,2 of 6,0 of 0,0 of 0,0 of 3,0 of 0,2 of 3,0,21 of 74,28%,1 of 11,2 of 2,1 of 1,3 of 13,0 of 0,1 of 1
Stanislav Nedkov,UFC 134: Silva vs Okami,"Aug. 27, 2011",Luiz Cane,Light Heavyweight Bout,Stanislav Nedkov,3 Rnd (5-5-5),1,4:13,L,W,KO/TKO,0,15 of 46,32%,7 of 38,2 of 2,6 of 6,15 of 44,0 of 2,0 of 0,1,29 of 51,56%,29 of 51,0 of 0,0 of 0,18 of 35,4 of 6,7 of 10
Stanislav Nedkov,UFC on FOX: Gustafsson vs Johnson,"Jan. 24, 2015",Nikita Krylov,Light Heavyweight Bout,Stanislav Nedkov,3 Rnd (5-5-5),1,1:24,W,L,Submission,1,13 of 16,81%,11 of 14,1 of 1,1 of 1,2 of 4,2 of 2,9 of 10,0,4 of 8,50%,4 of 7,0 of 1,0 of 0,4 of 8,0 of 0,0 of 0
Stanislav Nedkov,UFC on FUEL TV: Barao vs McDonald,"Feb. 16, 2013",Tom Watson,Middleweight Bout,Stanislav Nedkov,3 Rnd (5-5-5),2,4:42,W,L,KO/TKO,1,56 of 102,54%,7 of 22,16 of 24,1 of 1,2 of 11,22 of 36,0 of 0,0,39 of 78,50%,15 of 43,13 of 15,0 of 0,1 of 9,14 of 22,13 of 27
Stanislav Nedkov,UFC Macao: Franklin vs Le,"Nov. 10, 2012",Thiago Silva,Light Heavyweight Bout,Stanislav Nedkov,3 Rnd (5-5-5),3,1:45,NC,NC,Overturned,0,62 of 95,65%,7 of 11,3 of 6,12 of 14,5 of 6,17 of 25,0 of 0,1,18 of 70,25%,6 of 30,1 of 2,3 of 5,3 of 23,7 of 14,0 of 0
Kevin Natividad,UFC Fight Night: Hall vs. Silva,"Oct. 31, 2020",Miles Johns,Bantamweight Bout,Kevin Natividad,3 Rnd (5-5-5),3,2:51,W,L,KO/TKO,1,48 of 105,45%,17 of 33,0 of 3,3 of 3,19 of 36,1 of 3,0 of 0,0,33 of 137,24%,8 of 42,1 of 4,2 of 2,11 of 47,0 of 1,0 of 0
Geoff Neal,DWCS 1.3,"Jul. 25, 2017",Geoff Neal,Middleweight Bout,Chase Waldon,3 Rnd (5-5-5),1,1:56,W,L,KO/TKO,1,13 of 21,61%,9 of 17,4 of 4,0 of 0,6 of 11,4 of 4,3 of 6,0,2 of 7,28%,0 of 4,0 of 0,2 of 3,2 of 7,0 of 0,0 of 0
Tafon Nchukwi,UFC Fight Night: Tsarukyan vs. Gamrot,"Jun. 25, 2022",Carlos Ulberg,Light Heavyweight Bout,Tafon Nchukwi,3 Rnd (5-5-5),1,1:15,W,L,KO/TKO,1,15 of 19,78%,9 of 13,3 of 3,3 of 3,12 of 15,0 of 0,3 of 4,0,3 of 4,75%,0 of 0,0 of 0,3 of 4,3 of 4,0 of 0,0 of 0
Tafon Nchukwi,UFC Fight Night: Smith vs. Spann,"Sep. 18, 2021",Mike Rodriguez,Light Heavyweight Bout,Tafon Nchukwi,3 Rnd (5-5-5),3,5:00,L,W,Decision - Unanimous,0,49 of 144,34%,6 of 22,4 of 6,7 of 10,13 of 32,4 of 6,0 of 0,0,116 of 199,58%,28 of 41,7 of 15,3 of 4,13 of 28,19 of 26,6 of 6
Tafon Nchukwi,UFC Fight Night: Luque vs. Dos Anjos,"Aug. 12, 2023",AJ Dobson,Middleweight Bout,Tafon Nchukwi,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,67 of 134,50%,6 of 31,10 of 15,18 of 19,31 of 59,0 of 0,3 of 6,0,53 of 99,53%,4 of 20,7 of 10,13 of 15,24 of 44,0 of 1,0 of 0
Rafael Natal,UFC Fight Night: Marquardt vs Palhares,"Sep. 15, 2010",Rich Attonito,Middleweight Bout,Rafael Natal,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,1,25 of 80,31%,7 of 29,1 of 2,5 of 5,9 of 29,1 of 2,3 of 5,0,28 of 102,27%,6 of 31,1 of 8,7 of 9,13 of 47,0 of 0,1 of 1
Rafael Natal,UFC 124: St-Pierre vs Koscheck 2,"Dec. 11, 2010",Jesse Bongfeldt,Middleweight Bout,Rafael Natal,3 Rnd (5-5-5),3,5:00,D,D,Decision - Majority,0,53 of 81,65%,2 of 5,2 of 2,0 of 1,1 of 4,1 of 1,2 of 3,0,13 of 23,56%,5 of 6,0 of 0,0 of 0,0 of 0,4 of 5,1 of 1
Rafael Natal,UFC 133: Evans vs Ortiz 2,"Aug. 06, 2011",Rafael Natal,Middleweight Bout,Paul Bradley,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,43 of 123,34%,4 of 28,1 of 5,5 of 10,10 of 43,0 of 0,0 of 0,0,13 of 67,19%,2 of 22,0 of 1,1 of 1,3 of 24,0 of 0,0 of 0
Rafael Natal,UFC 143: Diaz vs Condit,"Feb. 04, 2012",Rafael Natal,Middleweight Bout,Michael Kuiper,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,36 of 72,50%,0 of 6,1 of 1,2 of 2,2 of 8,1 of 1,0 of 0,1,30 of 62,48%,1 of 6,1 of 1,2 of 4,1 of 6,2 of 2,1 of 3
Rafael Natal,UFC on FX: Belfort vs. Rockhold,"May. 18, 2013",Rafael Natal,Middleweight Bout,Joao Zeferino,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,29 of 67,43%,2 of 10,1 of 1,0 of 2,0 of 9,1 of 1,2 of 3,0,14 of 40,35%,4 of 10,0 of 1,1 of 3,5 of 14,0 of 0,0 of 0
Rafael Natal,UFC on FUEL TV: Munoz vs Weidman,"Jul. 11, 2012",Rafael Natal,Middleweight Bout,Andrew Craig,3 Rnd (5-5-5),2,4:52,L,W,KO/TKO,2,73 of 109,66%,11 of 21,5 of 7,13 of 14,28 of 41,1 of 1,0 of 0,1,23 of 72,31%,3 of 33,0 of 1,7 of 7,10 of 40,0 of 1,0 of 0
Rafael Natal,UFC on FOX: Johnson vs Dodson,"Jan. 26, 2013",Rafael Natal,Middleweight Bout,Sean Spencer,3 Rnd (5-5-5),3,2:13,W,L,Submission,0,64 of 111,57%,12 of 40,3 of 4,7 of 7,17 of 42,0 of 1,5 of 8,0,12 of 84,14%,6 of 55,1 of 3,0 of 1,7 of 59,0 of 0,0 of 0
Rafael Natal,UFC Fight Night: Brown vs Silva,"May. 10, 2014",Ed Herman,Middleweight Bout,Rafael Natal,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,51 of 87,58%,8 of 16,0 of 0,2 of 4,3 of 11,1 of 2,6 of 7,0,35 of 73,47%,6 of 14,2 of 4,6 of 8,7 of 13,1 of 2,6 of 11
Rafael Natal,UFC Fight Night: Teixeira vs Bader,"Sep. 04, 2013",Rafael Natal,Middleweight Bout,Tor Troeng,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,2,39 of 62,62%,4 of 7,2 of 2,3 of 3,4 of 6,0 of 0,5 of 6,0,9 of 17,52%,3 of 7,1 of 1,0 of 0,1 of 5,0 of 0,3 of 3
Rafael Natal,UFC Fight Night: Fight for the Troops 3,"Nov. 06, 2013",Tim Kennedy,Middleweight Bout,Rafael Natal,5 Rnd (5-5-5-5-5),1,4:40,W,L,KO/TKO,1,13 of 31,41%,7 of 24,1 of 2,5 of 5,9 of 27,0 of 0,4 of 4,0,13 of 35,37%,5 of 21,2 of 6,6 of 8,13 of 35,0 of 0,0 of 0
Rafael Natal,UFC 183: Silva vs Diaz,"Jan. 31, 2015",Rafael Natal,Middleweight Bout,Tom Watson,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,67 of 152,44%,10 of 35,2 of 4,11 of 12,23 of 51,0 of 0,0 of 0,0,29 of 150,19%,4 of 29,0 of 5,5 of 10,9 of 43,0 of 1,0 of 0
Rafael Natal,UFC Fight Night: Jacare vs Mousasi,"Sep. 05, 2014",Rafael Natal,Middleweight Bout,Chris Camozzi,3 Rnd (5-5-5),3,5:00,W,L,Decision - Split,0,36 of 73,49%,3 of 15,7 of 9,6 of 6,13 of 26,3 of 4,0 of 0,0,67 of 112,59%,3 of 16,2 of 2,9 of 9,12 of 24,2 of 3,0 of 0
Rafael Natal,UFC 187: Johnson vs Cormier,"May. 23, 2015",Uriah Hall,Middleweight Bout,Rafael Natal,3 Rnd (5-5-5),3,5:00,L,W,Decision - Split,0,43 of 74,58%,7 of 17,9 of 11,5 of 5,21 of 33,0 of 0,0 of 0,0,45 of 103,43%,5 of 30,4 of 7,12 of 12,19 of 46,2 of 3,0 of 0
Rafael Natal,UFC Fight Night: Weidman vs. Gastelum,"Jul. 22, 2017",Rafael Natal,Middleweight Bout,Eryk Anders,3 Rnd (5-5-5),1,2:54,L,W,KO/TKO,0,14 of 23,60%,8 of 16,2 of 3,4 of 4,13 of 20,1 of 3,0 of 0,1,23 of 29,79%,22 of 28,1 of 1,0 of 0,10 of 13,2 of 2,11 of 14
Rafael Natal,UFC 197: Jones vs Saint Preux,"Apr. 23, 2016",Robert Whittaker,Middleweight Bout,Rafael Natal,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,89 of 176,50%,16 of 43,2 of 2,5 of 6,22 of 49,0 of 0,1 of 2,0,62 of 137,45%,17 of 37,2 of 8,3 of 3,22 of 48,0 of 0,0 of 0
Rafael Natal,UFC on FOX: Johnson vs. Bader,"Jan. 30, 2016",Rafael Natal,Middleweight Bout,Kevin Casey,3 Rnd (5-5-5),3,3:37,W,L,KO/TKO,1,54 of 87,62%,4 of 12,2 of 2,1 of 1,5 of 12,2 of 3,0 of 0,0,16 of 49,32%,7 of 25,2 of 3,1 of 2,6 of 26,4 of 4,0 of 0
Rafael Natal,UFC 205: Alvarez vs McGregor,"Nov. 12, 2016",Rafael Natal,Middleweight Bout,Tim Boetsch,3 Rnd (5-5-5),1,3:22,L,W,KO/TKO,0,5 of 18,27%,2 of 13,1 of 2,2 of 3,5 of 18,0 of 0,0 of 0,1,14 of 25,56%,9 of 17,1 of 4,4 of 4,11 of 22,0 of 0,3 of 3
Pawel Nastula,PRIDE 32: The Real Deal,"Oct. 21, 2006",Josh Barnett,Heavyweight Bout,Pawel Nastula,3 Rnd (5-5-5),2,3:04,W,L,Submission,0,11 of 24,45%,1 of 6,1 of 1,0 of 0,1 of 4,1 of 3,0 of 0,0,11 of 19,57%,4 of 7,1 of 1,0 of 0,1 of 2,0 of 0,4 of 6
Nasrudin Nasrudinov,DWCS 5.3,"Sep. 14, 2021",Jailton Almeida,Light Heavyweight Bout,Nasrudin Nasrudinov,3 Rnd (5-5-5),2,1:49,W,L,Submission,0,2 of 8,25%,1 of 5,0 of 2,1 of 1,2 of 8,0 of 0,0 of 0,0,7 of 8,87%,5 of 6,1 of 1,0 of 0,3 of 4,0 of 0,3 of 3
Pawel Nastula,PRIDE Shockwave 2005,"Dec. 31, 2005",Aleksander Emelianenko,Heavyweight Bout,Pawel Nastula,3 Rnd (10-5-5),1,8:45,W,L,Submission,0,13 of 27,48%,12 of 26,1 of 1,0 of 0,1 of 11,2 of 3,10 of 13,0,4 of 17,23%,4 of 17,0 of 0,0 of 0,1 of 8,1 of 1,2 of 8
Pawel Nastula,PRIDE Critical Countdown Absolute,"Jul. 01, 2006",Pawel Nastula,Heavyweight Bout,Edson Drago,3 Rnd (10-5-5),1,4:33,W,L,Submission,0,18 of 30,60%,18 of 30,0 of 0,0 of 0,0 of 1,0 of 2,18 of 27,0,8 of 17,47%,6 of 14,2 of 3,0 of 0,0 of 4,2 of 4,6 of 9
Ismail Naurdiev,UFC 239: Jones vs. Santos,"Jul. 06, 2019",Ismail Naurdiev,Welterweight Bout,Chance Rencountre,3 Rnd (5-5-5),3,5:00,L,W,Decision - Unanimous,0,21 of 43,48%,3 of 10,7 of 10,0 of 0,7 of 17,3 of 3,0 of 0,0,4 of 24,16%,0 of 5,1 of 1,1 of 1,2 of 7,0 of 0,0 of 0
Kevin Natividad,UFC Fight Night: Nzechukwu vs. Cutelaba,"Nov. 19, 2022",Ricky Turcios,Bantamweight Bout,Kevin Natividad,3 Rnd (5-5-5),3,5:00,W,L,Decision - Split,0,68 of 115,59%,16 of 26,0 of 0,1 of 1,4 of 10,1 of 4,12 of 13,1,41 of 81,50%,4 of 14,3 of 3,2 of 2,5 of 13,2 of 3,2 of 3
Ismail Naurdiev,UFC Fight Night: Benavidez vs. Figueiredo,"Feb. 29, 2020",Sean Brady,Welterweight Bout,Ismail Naurdiev,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,47 of 91,51%,9 of 33,2 of 2,8 of 10,19 of 45,0 of 0,0 of 0,0,37 of 87,42%,12 of 48,8 of 8,8 of 10,24 of 59,4 of 7,0 of 0
Kevin Natividad,UFC 261: Usman vs. Masvidal 2,"Apr. 24, 2021",Batgerel Danaa,Bantamweight Bout,Kevin Natividad,3 Rnd (5-5-5),1,0:50,W,L,KO/TKO,1,7 of 15,46%,7 of 15,0 of 0,0 of 0,3 of 8,0 of 0,4 of 7,0,3 of 8,37%,1 of 5,2 of 3,0 of 0,3 of 8,0 of 0,0 of 0
Ismail Naurdiev,UFC Fight Night: Hermansson vs. Cannonier,"Sep. 28, 2019",Siyar Bahadurzada,Welterweight Bout,Ismail Naurdiev,3 Rnd (5-5-5),3,5:00,L,W,Decision - Unanimous,0,12 of 96,12%,5 of 38,1 of 3,0 of 0,6 of 41,0 of 0,0 of 0,0,69 of 126,54%,13 of 29,7 of 12,13 of 15,33 of 56,0 of 0,0 of 0
Dustin Neace,The Ultimate Fighter: Team Bisping vs Team Miller Finale,"Dec. 03, 2011",Bryan Caraway,Featherweight Bout,Dustin Neace,3 Rnd (5-5-5),2,3:38,W,L,Submission,0,23 of 53,43%,9 of 26,1 of 2,0 of 0,9 of 27,0 of 0,1 of 1,0,18 of 55,32%,8 of 26,2 of 2,2 of 2,11 of 28,0 of 1,1 of 1
Josh Neer,UFC Fight Night 1,"Aug. 06, 2005",Drew Fickett,Welterweight Bout,Josh Neer,3 Rnd (5-5-5),1,1:35,W,L,Submission,0,1 of 3,33%,0 of 2,1 of 1,0 of 0,0 of 1,1 of 1,0 of 1,0,0 of 0,---,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
Josh Neer,UFC Fight Night 3,"Jan. 16, 2006",Josh Neer,Welterweight Bout,Melvin Guillard,3 Rnd (5-5-5),1,4:20,W,L,Submission,0,3 of 9,33%,2 of 8,0 of 0,1 of 1,2 of 7,0 of 0,1 of 2,0,11 of 51,21%,5 of 41,1 of 5,5 of 5,6 of 32,1 of 3,4 of 16
Josh Neer,UFC 61: Bitter Rivals,"Jul. 08, 2006",Joshua Burkman,Welterweight Bout,Josh Neer,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,1,35 of 88,39%,9 of 33,2 of 3,3 of 3,8 of 26,5 of 11,1 of 2,0,19 of 39,48%,5 of 9,1 of 1,1 of 1,4 of 8,2 of 2,1 of 1
Josh Neer,UFC Fight Night 4,"Apr. 06, 2006",Josh Neer,Welterweight Bout,Joe Stevenson,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,1,46 of 126,36%,10 of 36,0 of 0,0 of 0,2 of 18,0 of 0,8 of 18,0,31 of 56,55%,6 of 9,0 of 1,3 of 3,6 of 8,0 of 1,3 of 4
Josh Neer,UFC 62: Liddell vs Sobral,"Aug. 26, 2006",Nick Diaz,Welterweight Bout,Josh Neer,3 Rnd (5-5-5),3,1:42,W,L,Submission,0,75 of 199,37%,20 of 69,13 of 17,2 of 2,14 of 59,21 of 29,0 of 0,0,25 of 62,40%,5 of 21,4 of 4,3 of 3,5 of 16,7 of 12,0 of 0
Josh Neer,UFC Fight Night: Florian vs Lauzon,"Apr. 02, 2008",Josh Neer,Lightweight Bout,Din Thomas,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,80 of 164,48%,20 of 50,1 of 2,9 of 11,12 of 37,7 of 12,11 of 14,0,20 of 84,23%,7 of 36,2 of 2,1 of 1,6 of 33,4 of 6,0 of 0
Josh Neer,UFC 104: Machida vs Shogun,"Oct. 24, 2009",Gleison Tibau,Lightweight Bout,Josh Neer,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,22 of 121,18%,6 of 44,1 of 2,0 of 0,6 of 43,1 of 3,0 of 0,0,24 of 99,24%,2 of 20,1 of 4,5 of 6,8 of 29,0 of 1,0 of 0
Josh Neer,UFC Fight Night: Diaz vs Neer,"Sep. 17, 2008",Nate Diaz,Lightweight Bout,Josh Neer,3 Rnd (5-5-5),3,5:00,W,L,Decision - Split,0,40 of 72,55%,10 of 19,8 of 10,3 of 3,0 of 7,16 of 20,5 of 5,0,26 of 50,52%,5 of 10,1 of 2,2 of 2,3 of 6,5 of 8,0 of 0
